,Year,Reference,Abstract
0,2013,"Lin, M., Prabhala, N. R., & Viswanathan, S. (2013). Judging borrowers by the company they keep: Friendship networks and information asymmetry in online peer-to-peer lending. Management Science, 59(1), 17-35.","We study the online market for peer-to-peer (P2P) lending, in which individuals bid on unsecured microloans sought by other individual borrowers. Using a large sample of consummated and failed listings from the largest online P2P lending marketplace, Prosper.com, we find that the online friendships of borrowers act as signals of credit quality. Friendships increase the probability of successful funding, lower interest rates on funded loans, and are associated with lower ex post default rates. The economic effects of friendships show a striking gradation based on the roles and identities of the friends. We discuss the implications of our findings for the disintermediation of financial markets and the design of decentralized electronic markets."
1,2018,"Karlsson, A., Larsson, L., & Öhrwall Rönnbäck, A. (2018). Product-service system innovation capabilities: Linkages between the fuzzy front end and subsequent development phases. International Journal of Production Research, 56(6), 2218-2232. doi:10.1080/00207543.2017.1365181 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=129867201&site=ehost-live","In an attempt to remain competitive, manufacturers increasingly offer integrated product-service systems (PSSs). This transition from physical products to PSSs calls for new ways of working, for example in the product development process. However, so far only limited attention has been put on capabilities needed to succeed with PSS innovation in the very early development phases - often referred to as the fuzzy front end (FFE). This article, therefore, has a dual aim: first, to further our understanding of capabilities for PSS innovation in the FFE, and second, to determine how these capabilities are linked to PSS innovation capabilities needed in subsequent development phases. Empirical data were collected from an ongoing industrial project developing an innovative PSS offering in a large manufacturing company. Individuals connected to the project reported major challenges, both experienced in the FFE and anticipated in later phases, which provided valuable information regarding capabilities needed to succeed with the endeavour.  reveal four links of PSS innovation capabilities: (1) adapting vocabulary and mental models to PSS, (2) handling the 'intangible aspect', (3) bridging organisational structures, and (4) managing new business models. PSS innovation capabilities in the FFE are also found to be of higher order (dynamic) compared to capabilities in later development phases. "
2,2011,"Patrício, L., Fisk, R. P., Falcão, e. C., & Constantine, L. (2011). Multilevel service design: From customer value constellation to service experience blueprinting. Journal of Service Research, 14(2), 180-200. doi:10.1177/1094670511401901 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=60405623&site=ehost-live","The proliferation of complex service systems raises new challenges for service design and requires new methods. Multilevel Service Design (MSD) is presented as a new interdisciplinary method for designing complex service systems. MSD synthesizes contributions from new service development, interaction design, and the emerging field of service design. MSD enables integrated development of service offerings at three hierarchical levels: (a) Designing the firm’s service concept with the customer value constellation of service offerings for the value constellation experience; (b) Designing the firm’s service system, comprising its architecture and navigation, for the service experience; and (c) Designing each service encounter with the Service Experience Blueprint for the service encounter experience. Applications of the MSD method are described for designing a new retail grocery service and for redesigning a bank service. MSD contributes an interdisciplinary service design method that accommodates the cocreative nature of customer experiences and enables experience integration from the design of the service concept through the design of the service system and service encounter. "
3,2019,"Frishammar, J., Richtnér, A., Brattström, A., Magnusson, M., & Björk, J. (2019). Opportunities and challenges in the new innovation landscape: Implications for innovation auditing and innovation management. European Management Journal, 37(2), 151-164. doi:10.1016/j.emj.2018.05.002 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135426670&site=ehost-live","Innovation auditing is a well-established practice used by managers to identify strengths and weaknesses in innovation. Existing audit frameworks fall short, However, because they neglect three major trends that currently transform the innovation landscape. These trends are as follows: 1) a shift from closed to more open models of innovation (""openness""), 2) a shift from providing physical products to industrial product–services (""servitization""), and 3) a shift from an analog to a highly digitalized world (""digitalization""). This article identifies new innovation practices, opportunities, and challenges that arise for manufacturing firms along these trends. The article proposes a revised innovation audit framework, which acknowledges these trends and supports innovation management in increasingly dynamic and competitive environments. Highlights • Explores impact of openness, servitization and digitalization on innovation auditing. • Identifies new activities and practices to audit innovation. • Presents a new innovation audit framework. • Helps managers to identify strengths and weaknesses in innovation. "
4,2019,"SHIKATA, N., GOTO, S., & GEMBA, K. (2019). Servitisation of the manufacturing industry in japan. Forum Scientiae Oeconomia, 7(3), 19-30. doi:10.23762/FSO_VOL7_NO3_2 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=139206253&site=ehost-live","The recent decline in the profitability of Japanese manufacturers has led to 'service innovation' or servitisation - the development of advanced service businesses utilising information technology. This study analyses 13,322 companies in the Japanese manufacturing industry and finds that servitisation contributes to their profitability. The major difference between servitisation companies and others is that the former sell products to end consumers. We examine two case studies of companies which have built mechanisms to facilitate continuous service provision. "
5,2019,"Chen, Y., & Hu, M. (2019). Pricing and matching with forward-looking buyers and sellers. Manufacturing & Service Operations Management.","Problem definition: We study a dynamic market over a finite horizon for a single product or service in which buyers with private valuations and sellers with private supply costs arrive following Poisson processes. A single market-making intermediary decides dynamically on the ask and bid prices that will be posted to buyers and sellers, respectively, and on the matching decisions after buyers and sellers agree to buy and sell. Buyers and sellers can wait strategically for better prices after they arrive. Academic/practical relevance: This problem is motivated by the emerging sharing economy and directly speaks to the core of operations management that is about matching supply with demand. Methodology: The dynamic, stochastic, and game-theoretic nature makes the problem intractable. We employ the mechanism-design methodology to establish a tractable upper bound on the optimal profit, which motivates a simple heuristic policy. Results: Our heuristic policy is: fixed ask and bid prices plus price adjustments as compensation for waiting costs, in conjunction with the greedy matching policy on a first-come-first-served basis. These fixed base prices balance demand and supply in expectation and can be computed efficiently. The waiting-compensated price processes are time-dependent and tend to have opposite trends at the beginning and end of the horizon. Under this heuristic policy, forward-looking buyers and sellers behave myopically. This policy is shown to be asymptotically optimal. Managerial implications: Our results suggest that the intermediary might not lose much optimality by maintaining stable prices unless the underlying market conditions have significantly changed, not to mention that frequent surge pricing may antagonize riders and induce riders and drivers to behave strategically in ways that are hard to account for with traditional pricing models."
6,2012,"Li, M., Choi, T. Y., Rabinovich, E., & Crawford, A. (2013). Self?service operations at retail stores: The role of inter?customer interactions. Production and Operations Management, 22(4), 888-914.","Inter?customer interactions are important to the operation of self?services in retail settings. More specifically, when self?service terminals are used as part of customers’ checkout processes in retail operations without the explicit involvement of retailers as the direct service providers, inter?customer interactions become a significant managerial issue. In this article, we examine the impact of inter?customer interactions at retail self?service terminals on customers’ service quality perceptions and repeat purchase intentions at retail stores. We conduct a scenario?based experimental design (N = 674) using a 2 × 2 factorial design in which inter?customer interactions are divided into “positive” vs. “negative” and occur during the “waiting” or during the actual “transaction” stages of self?services at a retail store. We use attribution theory to develop the hypotheses. The results demonstrate that, through their interactions, fellow customers can exert influences on a focal customer's quality perceptions and repeat purchasing intentions toward a retail store. Furthermore, these influences were impacted by how customers attribute blame or assign responsibility toward the retail store. Service operations managers should leverage these interactions by designing into self?service settings the capacities and interfaces that are best suited for customers’ co?production of their self?service experiences."
7,2013,"Maglio, P. P., & Spohrer, J. (2013). A service science perspective on business model innovation. Industrial Marketing Management, 42(5), 665-670. doi:10.1016/j.indmarman.2013.05.007 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=90094155&site=ehost-live","Using four basic principles of service science, we systematically explore value-proposition design as one type of business model innovation. Service science combines organization and human understanding with business and technological understanding to categorize and explain service systems, including how they interact and evolve to cocreate value. Our goal is to apply a scientific approach to advance design and innovation in service systems. Our foundation is service-dominant logic, which provides perspective, vocabulary, and assumptions on which to build a theory. Our basic theoretical construct is the service system, entities that are dynamic configurations of four kinds of resources. Our core principles center on the way value is computed within and among entities, how interaction is based on access to resources and their capabilities, and on how value computation and interaction depend on symbol processing and language guided by mutually agreed-to value propositions. In this context, service science can inform and accelerate value-proposition design by systematizing the search for adaptive advantages that improve existing offerings, create new offerings, or reconfigure the value-creating ecosystem. "
8,2012,"Teixeira, J., Patrício, L., Nunes, N. J., Nóbrega, L., Fisk, R. P., & Constantine, L. (2012). Customer experience modeling: From customer experience to service design. Journal of Service Management, 23(3), 362-376. doi:10.1108/09564231211248453 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=77622450&site=ehost-live","Customer experience has become increasingly important for service organizations that see it as a source of sustainable competitive advantage, and for service designers, who consider it fundamental to any service design project. Integrating contributions from different fields, CEM was conceptually developed to represent the different aspects of customer experience in a holistic diagrammatic representation. CEM was further developed with an application to a multimedia service. To further develop and build CEM's models, 17 customers of a multimedia service provider were interviewed and the data were analyzed using Grounded Theory methodology. Combining multidisciplinary contributions to represent customer experience elements enables the systematization of its complex information. The application to a multimedia service highlights how CEM can facilitate the work of multidisciplinary design teams by providing more insightful inputs to service design. CEM supports the holistic nature of customer experience, providing a systematic portrayal of its context and shifting the focus from single experience elements to their orchestration.  "
9,2018,"Calabrese, A., Forte, G., Levialdi, N. G., & Castaldi, C. (2018). Sustainability-oriented service innovation: An emerging research field. Journal of Cleaner Production, 193, 533-548. doi:10.1016/j.jclepro.2018.05.073 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=129974715&site=ehost-live","Current environmental, social and economic sustainability challenges are increasingly becoming sources of motivation for both manufacturing and service companies when attempting to innovate their businesses. In recent years, there has been growing interest from academics, policy-makers and practitioners on service innovation as a new business logic for companies to address societal challenges regarding sustainability. Nevertheless, research specifically focusing on service innovation in relation to sustainability is scarce and ultimately scattered across different research fields. Thereby, only limited clues are available for companies willing to address sustainability challenges through service innovation. To encourage further research in this direction, this paper systematically reviewed the available literature by investigating peer-reviewed publications (from 2004 up to and including 2015) across different fields, which jointly focus on services, innovation and sustainability. The literature review confirmed both the growing amount of research on service innovation in relation to sustainability, as well as the lack of an overarching field to clearly identify such a phenomenon. The review also revealed that three main existing research streams (service innovation, product-service system and sustainability-oriented innovation) contribute to the investigation topic, though all have specific focuses when it comes to the sustainability and innovation dimensions considered. Taking stock of the descriptive and thematic analysis of the review and the identified research gaps, the paper concludes by discussing the need for a clear recognition of the emerging field of sustainability-oriented service innovation, and by outlining several future research pathways for its further enhancement. "
