,Year,Reference,Abstract,cluster_4,cluster_5
0,1990,"Mersha, T. (1990). Enhancing the customer contact model. Journal of Operations Management, 9(3), 391-405. doi:10.1016/0272-6963(90)90162-7 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=11488703&site=ehost-live","Most services are provided in the presence of the customer. In most service operations, the customer is not only present but also directly participates in the service delivery process. Such encounters with the service system and the customer's involvement in the service production process have important implications for operations efficiency and effectiveness. Thus, the nature and extent of contact between the customer and the service system should be carefully evaluated in designing service facilities. One approach that has been considered a useful conceptual tool for aiding operations managers in their service design decisions is the customer contact model (CCM). This model classifies service systems into ""high contact,"" ""low contact"" and ""mixed"" services based on the extent of contact between the customer and the service facility. Recently, However, this model's effectiveness as a service management tool has been challenged. CCM has been criticized for failing to sufficiently distinguish between service systems that involve high interaction and customization and those that primarily provide accommodation. The model's capability to assess a service facility's potential efficiency has also been questioned. This paper reevaluates CCM in view of the recent concerns raised about it and offers some extensions which improve the model's performance. It proposes a broadened definition of ""customer contact"" and differentiates between ""active"" and ""passive"" contact. Based on these distinctions, it presents a revised approach for classifying services and for assessing the potential efficiency of service facilities. The extensions provided in this paper would help overcome many of CCM's shortcomings and thus enhance its potential as a viable tool for managing service operations. Therefore, this study, while recognizing the valid criticisms leveled at CCM, asserts that the customer contact concept still provides a useful framework for understanding, designing and controlling service systems. ",3,3
1,1993,"Barnes, J. G., & Glynn, W. J. (1993). The customer wants service: Why technology is no longer enough. Journal of Marketing Management, 9(1), 43-53. doi:10.1080/0267257X.1993.9964216 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=13108458&site=ehost-live","In today's marketplace, the customer is presented with a myriad of products and services of greater variety and value than ever before. As competition becomes more intense, product and service providers are increasingly turning towards ""service"" or ""service quality"" as a means of achieving competitive advantages. Even in industries such as telecommunications, where significant technological advances have characterized the industry, companies are realizing that the best product no longer guarantees an advantage over the competition. The key ingredient in the formulation of a competitive service strategy is the proper measurement of service quality dimensions, as defined by the customer, and the continual monitoring of company performance along those dimensions. This article describes the process of identifying service quality dimensions as applied in two telecommunications network providers, one in Canada and one in Ireland. Results are compared and contrasted between the two countries. ",2,2
2,1996,"Greengard, S. (1996). Finding time to be strategic. Personnel Journal, 75(10), 84. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=9610255288&site=ehost-live",Explores technological innovations in human resource management. Analysis of the employee self-service system; Features and drawbacks of self-service options; Need for the right combination of technologies and solutions. ,2,2
3,1997,"Tax, S. S., & Stuart, I. (1997). Designing and implementing new services: The challenges of integrating service systems. Journal of Retailing, 73(1), 105-134. doi:10.1016/S0022-4359(97)90017-8 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=9708151368&site=ehost-live",Addresses the impact of innovations to customer service systems. Description of the service design process; Conceptualization of design process from a service system perspective; Research design used in the case studies; Assessing service and system differences; Planning cycle success for an improved service integration. ,1,1
4,1998,"Ian Stuart, F. (1998). The influence of organizational culture and internal politics on new service design and introduction. International Journal of Service Industry Management, 9(5), 469. doi:10.1108/09564239810238866 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=4029527&site=ehost-live","The design of new services is a fundamental element of a firm's growth strategy but, despite some recent work, our knowledge of the new service design process remains weak. This paper examines the impact of service culture and internal politics on the design, introduction success and rejection of new service design proposals. The extant literature is reviewed, a conceptual framework is developed and several longitudinal case examples are discussed. The results indicate that existing service culture can have a significant impact on modifying the new service design proposal making implementation success and high customer satisfaction levels more difficult to achieve. Several propositions for future research are presented. ",1,1
5,1998,"Lee, H. L., & Tang, C. S. (1998). Variability reduction through operations reversal. Management Science, 44(2), 162-172.","Products with high product variety are often made in a manufacturing process (or a supply chain) consisting of multiple stages, with products taking certain features or “personalities” at each stage. The product may start as a common single engine. As the product moves along manufacturing process, more features are added, and the product assumes more identities of the final end product. When demands of the end products are variable from period to period, the production volumes of the intermediate stages in the manufacturing process are also variable. It is widely recognized that variabilities of production volumes may add cost to the process. This paper is motivated by our observations in industry, where some companies have reengineered the manufacturing process by reversing two consecutive stages of the process. Such changes could lead to variance reduction, thereby improving the performance of the process. We develop formalized models that characterize the impact of such changes: operations reversal. These models are used to derive insights on when such reversal would be advisable.",4,5
6,1999,"Thomas, P., & Kelvin, A. (1999). Market-led culture and competitive advantage: A case of siemens BCS UK telecommunications. Journal of Professional Services Marketing, 20(1), 147. doi:10.1300/J090v20n01_11 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=3101696&site=ehost-live","Focuses on market-led service strategies that can provide organizations with competitive advantage. Case of Siemens Business Communications Systems Inc., a British telecommunications firm; Service strategy options; Principles of customer service design; Customer satisfaction. ",3,3
7,1999,"Kapuscinski, R., & Tayur, S. (1999). Variance vs. standard deviation: variability reduction through operations reversal. Management Science, 45(5), 765-767.","We show that if the analysis of the model of Lee and Tang used standard deviation rather than variance, some nonintuitive predictions of their analysis would be eliminated.",2,2
8,2000,"Bashyam, T. C. A. (2000). Service design and price competition in business information services. Operations Research, 48(3), 362. doi:10.1287/opre.48.3.362.12434 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=3418660&site=ehost-live","We examine two competing technologies for delivering business information to professional subscribers: first, a package service that delivers information using physical media, such as CD-ROMs; second, an online service that allows subscribers to access information over online networks. We model the information services market as a duopoly, where each information service provider is equipped with either packaged or online information delivery technology. They compete for potential subscribers characterized by their usage volume. Subscribers may also choose 'self-service,' wherein they collect and collate information directly from the source. Service design for information service providers must specify their information delivery technology and the size of the database they provide. Service providers first commit to a service design and then enter a price competition phase, where they choose the parameters of their feasible pricing strategies. Specifically, a package service provider chooses a fixed charge for subscription. An online provider chooses both a fixed charge and a marginal charge, because it is possible to meter usage in that technology. We show that the package provider serves high volume subscribers while the online provider serves low volume subscribers. We also derive bounds on equilibrium database sizes, prices, and market shares for each provider. ",3,3
9,2001,"Easton, F. F., & Pullman, M. E. (2001). Optimizing service attributes: The seller's utility problem. Decision Sciences, 32(2), 251-275. doi:10.1111/j.1540-5915.2001.tb00960.x Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=11879533&site=ehost-live","Service designers predict market share and sales for their new designs by estimating consumer utilities. The service's technical features (for example, overnight parcel delivery), its price, and the nature of consumer interactions with the service delivery system influence those utilities. Price and the service's technical features are usually quite objective and readily ascertained by the consumer. However, consumer perceptions about their interactions with the service delivery system are usually far more subjective. Furthermore, service designers can only hope to influence those perceptions indirectly through their decisions about nonlinear processes such as employee recruiting, training, and scheduling policies. Like the service's technical features, these process choices affect quality perceptions, market share, revenues, costs, and profits. We propose a heuristic for the NP-hard service design problem that integrates realistic service delivery cost models with conjoint analysis. The resulting seller's utility function links expected profits to the intensity of a service's influential attributes and also reveals an ideal setting or level for each service attribute. In tests with simulated service design problems, our proposed configurations compare quite favorably with the designs suggested by other normative service design heuristics. ",3,3
10,2001,"Laiserin, J. (2001). Self-service design. Architectural Record, 189(2), 163. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=4136667&site=ehost-live","Focuses on the relevance of Al and Web computer program languages to design services in the United States. Functionality of Al computer program language; List of firms providing self-service design tasks, planning services and equipment configurations to clients; Impact of technology on design services. ",1,1
11,2001,"Pullman, M. E., Verma, R., & Goodale, J. C. (2001). Service design and operations strategy formulation in multicultural markets. Journal of Operations Management, 19(2), 239-254. doi:10.1016/S0272-6963(00)00059-0 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=11480552&site=ehost-live","Businesses that service multicultural customer segments face unique challenges in developing the appropriate service strategy. While the strategic implications of expanding services from a domestic market to an international location have been well documented, multicultural customer segments at one location is a unique problem that has largely been neglected by researchers. This paper attempts to fill this gap by presenting a conceptual framework and method for determining the extent of service product and process attribute standardization versus customization in these settings. The paper presents an approach for modeling the preferences of different cultural segments, evaluating the differences between the segments and determining the appropriate service strategy for service providers. We evaluate the effects of competitors adopting their revenue maximizing strategy both independently of each other and simultaneously while assuming the size of the market is viewed as a zero sum game. In an actual application at an international airport terminal, one food-service vendor implemented the suggested operations strategy and the result was a significant revenue gain over the previous year's sales during the same period. The method has valuable implications for managers when developing strategies for delivering a service to multicultural customer segments. ",3,3
12,2001,"Jain, N., & Paul, A. (2001). A generalized model of operations reversal for fashion goods. Management Science, 47(4), 595-600.",Operations reversal is a process design principle that involves switching two consecutive stages of the manufacturing process to improve process performance. In this paper we investigate conditions under which operations reversal can be used to reduce the variability—as measured by the variance and standard deviation—of production volumes at the intermediate stage of the manufacturing process. We generalize the operations reversal model of Lee and Tang (1998) to explicitly incorporate two important characteristics of fashion goods markets: heterogeneity among customers and unpredictability of customer preferences. We also present a new approach to modeling the operations reversal problem.,4,5
13,2002,"Director's forum. (2002). Laboratory Equipment, 38(12), 8. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=6395811&site=ehost-live",Provides insights into the influence of technological innovation on design and manufacturing of laboratory products. Incorporation of software capabilities in product development; Implementation of web-facilitated direct service system to enhance customer relation; Standard of laboratory seating requirements. ,2,2
