,index,Abstract
0,https://doi.org/10.1287/msom.2018.0719,"Emergency departments (EDs) typically use a triage system to classify patients into priority levels. However, most triage systems do not specify how exactly to route patients across and within the assigned triage levels. Therefore, decision makers in EDs often have to use their own discretion to route patients. Also, how patient waiting is perceived and accounted for in ED operations is not clearly understood. In this paper, using patient-level ED visit data, we structurally estimate the waiting cost structure of ED patients as perceived by the decision makers who make ED patient routing decisions. We derive policy implications and make suggestions for improving triage systems. We analyze the patient routing behaviors of ED decision makers in four EDs in the metro Vancouver, British Columbia, area. They all use the Canadian Triage and Acuity Scale, which has a wait time–related target service level objective. We propose a general discrete choice framework, consistent with queueing literature, as a tool to analyze prioritization behaviors in multiclass queues under mild assumptions. We find that the decision makers in all four EDs (1) apply a delay-dependent prioritization across different triage levels; (2) have a perceived marginal ED patient waiting cost that is best fit by a piece-wise linear concave function in wait time; (3) generally follow, in the same triage level, the first-come first-served principle, but their adherence to the principle decreases for patients who wait past a certain threshold; and (4) do not use patient complexity as a major criterion in prioritization decisions."
1,https://doi.org/10.1287/msom.2018.0721,"Problem definition: Attendance at a museum fluctuates over time and is largely dependent on the exhibitions on display. Schedules can be adjusted to maximize the museum's objectives. Academic/practical relevance: In this paper, we build a model to study and manage the impact of exhibitions on the number of museum visitors. Methodology: We first estimate the model using data collected from two large museums in Barcelona. We then build an optimization framework in which the museum operator can choose the best duration and synchronization of exhibitions. Results: We find that, in addition to seasonality, exhibition type, display location, and life cycle affect attendance significantly. We characterize the optimal schedule: optimal durations increase with exhibition attractiveness and seasonality factors, and multiple exhibitions should be synchronized when there are no penalties from congestion. Managerial implications: Operations research techniques and in particular exhibition scheduling can be a valuable lever for museums to increase their impact on visitors."
2,https://doi.org/10.1287/msom.2018.0724,"We study the effects of rescheduling on no-show behavior in an outpatient appointment system for both new and follow-up patients. Previous literature has primarily focused on new patients and investigated the role of waiting time on no-show probability. We offer a more nuanced understanding of this costly phenomenon. Using comprehensive clinical data, we demonstrate that for follow-up patients, their no-show probability decreases by 10.9 percentage points if their appointments were rescheduled at their own request, but increases by 6.2 percentage points if they were rescheduled by the clinic. New patients, in contrast, are less sensitive to who initiates rescheduling. Their no-show probability decreases by 2.3 percentage points if their appointments were rescheduled at their own request, and increases by 3.2 percentage points—but is statistically insignificant at the 10% level—if they were rescheduled by the clinic. New patients are more concerned about waiting time compared with follow-up patients. For patients whose appointments were not rescheduled, new patients’ no-show probability decreases by 1.3 percentage points if their waiting time is reduced by one week, but the waiting time has a small and statistically insignificant effect on follow-up patients’ no-show probability. Using data-driven simulation, we conduct counterfactual investigation of the impact of allowing active rescheduling on the performance of appointment systems. In particular, allowing the flexibility of patient rescheduling can reduce the overall no-show rate and increase system utilization, but at a cost of increased wait time for new patients. If patients are able to reschedule at least one week in advance, new patients’ wait time is largely reduced, whereas the no-show rate remains the same; this is equivalent to the effect of a 5% increase in the clinic’s capacity."
3,https://doi.org/10.1287/msom.2018.0728,"Ticket queues are prevalent in service industries. They enhance customer satisfaction by eliminating physical lines but may compromise efficiency. Existing studies offer mixed results on the cause and magnitude of such inefficiency. These results, however, are based on simplistic customer behaviors. Taking a holistic approach, we examine how realistic customer behaviors drive ticket queue performance. Our empirical studies reveal that (i) customers are capable of adapting their patience to the waiting context and (ii) they use dynamic updating to improve forecasting and decision making over time. Once we model these two behaviors, we find the ticket queue inefficiency is much smaller than the literature predicted. By testing and highlighting the central role of realistic customer behaviors, this paper advances our understanding on ticket queue theory and practice."
4,https://doi.org/10.1287/msom.2017.0701,"Problem definition: Studies have shown that the behavior of subjects in newsvendor experiments is not consistent with expected profit  maximization—an assumption that is often made in operations management literature. Although prospect theory has been established as a popular model of behavioral  decision making under uncertainty, it was considered to be inconsistent with observed newsvendor behavior (in particular, the pull-to-center effect) until a recent study  by Long and Nasiry [Long X, Nasiry J (2015) Prospect theory explains newsvendor behavior: The role of reference points. Management Sci.  61(12):3009–3012.] proposed a prospect theory model that is consistent with the pull-to-center effect; however, this model’s ability in representing  newsvendor behavior compared to other plausible prospect theory models is unexplored in the literature. This paper takes a more comprehensive approach in building  several prospect theory-based newsvendor models and evaluates their competence in representing the observed newsvendor behavior. An important feature of these  models is that they are not only consistent with the pull-to-center effect, but they can also, in accordance with the findings from recent research, accommodate  individual-level heterogeneity in order quantities. Academic/practical relevance: Designing effective supply chain processes and inventory  systems requires that the underlying models represent the observed newsvendor behavior reasonably well, especially in settings where most decisions are made by  individuals. Our paper provides a rigorous basis for choosing a model when characterizing the decision making process of a newsvendor. Moreover, our novel approach to  model building and testing could serve as a template for selecting appropriate prospect theory models in contexts other than the newsvendor problem.  Methodology: Motivated by different types of reference points studied in the decision theory literature, we first build several newsvendor  models that can theoretically accommodate individual-level heterogeneity in order quantities. Thereafter, using a multipronged approach based on theoretical criteria,  goodness of fit, and empirical validity, we evaluate these models to determine the most appropriate model. Results: The model with mean  demand as the stochastic reference point consistently outperforms other models, reducing the prediction error by as much as 31% on the experimental data used for  this study. Moreover, all the empirical regularities considered in our paper are consistent only with this model. This suggests that mean demand is more likely to be  adopted by experimental subjects as a reference point—perhaps because of its greater salience than the other plausible reference points considered.  Managerial implications: Since decisions are made predominantly by human retailers in the emerging markets, we represent their behavior by  the model with mean demand as the reference point and identify settings in which they could benefit from investing in decision support systems. We also demonstrate the  benefits to a supplier from approximating his retailers’ behavior with this model relative to him using the other prospect theory models considered in this paper."
5,https://doi.org/10.1287/msom.2018.0707,"We consider an on-demand service platform using earning-sensitive independent providers with heterogeneous reservation price (for work participation) to serve its time and price-sensitive customers with heterogeneous valuation of the service. As such, the supply and demand are “endogenously” dependent on the price the platform charges its customers and the wage the platform pays its independent providers. We present an analytical model with endogenous supply (number of participating agents) and endogenous demand (customer request rate) to study this on-demand service platform. To coordinate endogenous demand with endogenous supply, we include the steady-state waiting time performance based on a queueing model in the customer utility function to characterize the optimal price and wage rates that maximize the profit of the platform. We first analyze a base model that uses a fixed payout ratio (i.e., the ratio of wage over price), and then extend our model to allow the platform to adopt a time-based payout ratio. We find that it is optimal for the platform to charge a higher price when demand increases; however, the optimal price is not necessarily monotonic when the provider capacity or the waiting cost increases. Furthermore, the platform should offer a higher payout ratio as demand increases, capacity decreases or customers become more sensitive to waiting time. We also find that the platform should lower its payout ratio as it grows with the number of providers and customer demand increasing at about the same rate. We use a set of actual data from a large on-demand ride-hailing platform to calibrate our model parameters in numerical experiments to illustrate some of our main insights."
6,https://doi.org/10.1287/msom.2018.0708,"This paper demonstrates the mathematical equivalence between two recently proposed reference effect formulations for the newsvendor problem and then extends them to a competitive setting. The analysis of the resultant game shows that the heterogeneity of reference effects can explain multiple regularities observed in recent experimental studies of newsvendor competition. In particular, our model explains the main experimental finding that one newsvendor tends to ignore the policy of its competitor. Other experimental observations such as profit disparity, underordering in a high margin scenario, and overordering when there is no expected overflow can all be attributed to the heterogeneity of reference effects in our model’s equilibrium. In addition to explaining these observations, our model also produces a number of new testable hypotheses regarding the competitive newsvendor behavior."
7,https://doi.org/10.1287/msom.2017.0673,"Problem definition: A large proportion of the world’s population has no access to electricity and so relies on noxious kerosene  for their lighting needs. Solar-based solutions require a large up-front investment and are often unaffordable in this market owing to consumers’ tight  liquidity constraints. As an alternative, there are business models relying on rechargeable light bulbs that are sold at a subsidized price (which renders them  affordable) and require regular micropayments for recharges (which eases liquidity constraints). These bulbs provide a cheaper and healthier light source than kerosene,  yet their adoption is lower than expected, and some consumers continue to use kerosene. This paper explores the potential drivers of such preferences and proposes  strategies to alter them. Academic/practical relevance: Unlike most of the existing operations management literature, which focuses on the  problems in developed economies, our paper studies a problem specific to the poor population. Our novel modeling approach, which incorporates several operational  features of the impoverished regions, could also serve as a template for other potential modeling attempts in similar settings.  Methodology: We propose a stylized consumer behavior model that accounts for—in addition to the monetary cost  incurred while using a particular light source—the inconvenience cost (resulting from repeated travel to the purchase center) and  blackout cost (resulting from liquidity constraints) associated with that source to explain the consumer preference for kerosene and to recommend  strategies that could mitigate that preference. Results: Although kerosene lighting is more expensive than bulbs, consumers who face  either high inconvenience costs or high blackout costs prefer kerosene to bulbs because the former’s flexibility, with regard to quantity, helps reduce  whichever cost is dominating. At the firm level, there is an optimal bulb capacity and recharge price pair that maximizes the firm’s revenue; furthermore, a  firm can reverse the preferences for kerosene by increasing the flexibility of the bulbs (e.g., by allowing partial recharges). Although strategies—such as  price discounts and mobile micropayments—which alleviate liquidity constraints are not in themselves sufficient to ensure higher adoption rates, increased  bulb use becomes more likely when they are combined with inconvenience-reducing strategies. Managerial implications: Our paper sheds  light on the structure of the market in which firms operate by identifying the characteristics of the market segments that prefer kerosene. It also helps the firms make better decisions by evaluating the efficacy of several strategies in terms of increasing the adoption of bulbs."
8,https://doi.org/10.1287/msom.2017.0704,"To scale service operations requires retrieving knowledge across the organization. However, prior work highlights that individuals on the periphery of organizational knowledge networks may struggle to access useful knowledge at work. A knowledge repository has the potential to help peripheral individuals gain access to valuable knowledge because it is universally available and can be used without social interaction. However, for it to successfully serve this equalizing function, those on the periphery of the organizational knowledge networks must actually use it, possibly overcoming barriers to doing so. In this paper, we develop a multilevel model of knowledge retrieval in teams to explore how individuals on the periphery of knowledge networks—because of their inexperience, location, lack of social capital, gender, or role—access knowledge from such a knowledge repository. Unexpectedly, we find that individuals whose experience and position already provide access to vital knowledge use a knowledge repository more frequently than individuals on the organizational periphery. We argue that this occurs because the knowledge repository—despite its appearance of equivalent accessibility—is actually more accessible to central than to peripheral players. Thus, knowledge retrieval is not driven primarily by the need to overcome limited access to other knowledge sources. Rather knowledge retrieval is facilitated when actors know how to reap value from the knowledge repository, which ironically improves with increasing access to other sources of knowledge. We conclude that a knowledge repository is unlikely to scale service operations without additional intervention."
9,https://doi.org/10.1287/msom.2017.0685,"Consumers increasingly want to know more about where and how the products they purchase are being made. To create transparency requires a company to both gain visibility into its supply chain and disclose information to consumers. In this paper, we focus on the dimension of visibility and investigate when companies can benefit from greater supply chain visibility. To do so, we design an incentivized human–subject experiment to study two key questions: (i) How does supply chain visibility impact consumers’ valuations of a company’s social responsibility (SR) practices in its upstream supply chain? (ii) What roles do indirect reciprocity and consumers’ prosociality play in affecting their valuations under different levels of visibility? In our design, greater visibility is represented by lower uncertainty in the outcomes of a company’s SR efforts. Our results show that consumers value greater visibility regarding a company’s SR practices in the upstream supply chain. This is especially true if consumers exhibit a self-serving bias and use uncertainty as an excuse not to pay for SR. We also observe that high prosocial consumers do not exhibit strong indirect reciprocity. Conversely, indirect reciprocity significantly increases low prosocial consumers’ valuations under High visibility. Our work adds to the experimental literature focusing on transparency and SR (which has primarily studied disclosure) by examining the equally important but understudied dimension of visibility. Furthermore, our results on consumer heterogeneity offer insights into what SR information resonates with a company’s target consumers."
