,Year,Reference,Abstract
0,2018,"Kahn, K. B. (2018). Understanding innovation. Business Horizons, 61(3), 453-460. doi:10.1016/j.bushor.2018.01.011 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=129049669&site=ehost-live","While innovation has become a pervasive term, many of today’s organizations still find innovation elusive. One reason may be that much of what is being said about innovation contributes to misunderstanding. To truly manifest innovation and reap its benefits, one must recognize that innovation is three different things: innovation is an outcome, innovation is a process, and innovation is a mindset. Innovation as an outcome emphasizes what output is sought, including product innovation, process innovation, marketing innovation, business model innovation, supply chain innovation, and organizational innovation. Innovation as a process attends to the way in which innovation should be organized so that outcomes can come to fruition; this includes an overall innovation process and a new product development process. Innovation as a mindset addresses the internalization of innovation by individual members of the organization where innovation is instilled and ingrained along with the creation of a supportive organizational culture that allows innovation to flourish. Such an understanding defines necessary elements, considerations, and vernacular surrounding the term so that better decisions can be made, thereby enabling innovation and having a greater propensity to succeed. "
1,2018,"Kroh, J., Luetjen, H., Globocnik, D., & Schultz, C. (2018). Use and efficacy of information technology in innovation processes: The specific role of servitization. Journal of Product Innovation Management, 35(5), 720-741. doi:10.1111/jpim.12445 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=131033638&site=ehost-live","Innovation activities and, particularly, service innovations, impose high demands on a firm's information processing capabilities. IT tools are supposed to support internal and external information flows, thereby improving a firm's information processing capabilities. However, past research is indecisive about how IT tools influence innovation performance. Furthermore, past research has not considered that services have an increasingly relevant role in a firm's innovation portfolio that can complicate information processing. This study therefore draws on information processing theory and service innovation literature to develop a conceptual model that explains how IT use intensity—depending on the firm's business focus—affects innovation program performance. By using a cross?industry, multi?informant sample of the innovation programs of 116 firms, which were collected from 887 informants, this article provides empirical evidence that (i) intensive IT use in order to exchange information with internal and external stakeholders improves the firm?wide market knowledge, which in turn has a positive impact on a firm's innovation program performance; (ii) the performance impact of market knowledge becomes stronger with increasing degrees of servitization; (iii) a higher degree of servitization reduces IT's use intensity. This research demonstrates the dilemma that servitized firms face: Their business focus hinders the use of IT tools, although the latter will enable them to gain more benefits from the improved market knowledge they create. Practitioner Points: Intensive IT use positively influences the firm?wide innovation performance. The intensive use of IT tools to strengthen internal information flows and IT tools to support exchange with external stakeholders increase a firm's market knowledge, which enhances the innovation program performance. Service innovations have higher information requirements than product innovations and profit therefore more from intensive IT use, but services' complexity hinders IT implementation. Firms with a higher degree of servitization use less IT, although they can profit more from the market knowledge IT tools create. Servitized firms need to install a flexible, modular, and open IT system for efficient IT use and to include all relevant internal and external stakeholders. "
2,2017,"Langham, J., Paulsen, N., & Hartel, C. (2017). Evaluating design effectiveness for public sector services: An introduction to XE. Proceedings of the European Conference on Innovation & Entrepreneurship, , 706-713. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=126256542&site=ehost-live","Our research draws on diverse domains: psychology, service management, human factors, ergonomics, universal design and new public governance to develop a scale for citizen experience measurement. We use the byzantine environment of taxation administration to test and further improve our evaluation model. Our model known as Experience Effectiveness (XE), challenges traditional thinking of service quality as a function of client satisfaction or loyalty. XE uses a multi-participant perspective and is defined in humanist terms of usability, service co-production and the successful completion of the service objective. This paper demonstrates that the strategic use of design in public sector administration can be used to improve citizens' lives. Through evaluating the experiences citizens have interacting with the public sector, governments can prioritise issues, reduce bureaucratic complexity and design better services. Improved public administration will ensure more effective use of revenue and higher levels of compliance with the law through seamless, transparent engagement and higher levels of citizen satisfaction. Initial results from the first of two studies are presented to show the practical application of the XE tool. In the taxation environment, we use the process of starting a small business in Australia as a test case. Both the XE measurement model and the associated citizen-client design are evaluated. The results have significance for all areas that require an objective measure of the impact of design on clients. Experience Effectiveness will also provide objective measures for project governance and performance evaluation. The research demonstrates how successful design outcomes can be a pragmatic alternative to enforcement as the principal approach to deterrence as compliance management. "
3,2019,"Ozkul, A. S., Damali, U., Nandialath, A. M., & Stapleton, A. (2019). Customer and employee perceptual congruence in service co-production. Quality Management Journal, 26(1), 2-17. doi:10.1080/10686967.2018.1542286 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=134195149&site=ehost-live","Building on perceptual congruence research, this paper argues that when a customer and a front-line employee have similar perceptions of a co-produced output, employee awareness can support quality improvement efforts in service operations. The authors develop an analytical model describing perceptual congruence in a dyadic customer-employee relationship using a constant elasticity of substitution (CES) function. This model allows the authors to describe a service context with three factors: 1) customer work-allocation level (that is, percent of work expected to be done by the customer); 2) customer-employee interaction level (that is, level of communication needed); and 3) customer-employee interaction type (that is, superiority or inferiority perceived by the customer and the employee in the interaction). The authors also calculate which type of customer-employee perceptual bias alignment is needed to achieve perceptual congruence under these three contextual factors. Their model may guide service managers how to manage perceptual biases — considering their service design characteristics to achieve perceptual congruence. "
4,2016,"Eloranta, V., Orkoneva, L., Hakanen, E., & Turunen, T. (2016). Using platforms to pursue strategic opportunities in service-driven manufacturing. Service Science, 8(3), 344-357.","Strategy research posits that in dynamic environments, firms must base their strategies not on leveraging the past, but on fostering constant change. This research explores how platforms can be used as semistructures to pursue strategic opportunities in manufacturers’ service networks. A platform strategy combining product and organization approaches is identified at the interfirm level. The results show that platforms are perceived to extend the physical product’s capacity to produce new usage scenarios, facilitate interfirm information flows and enable collective benefits, and create awareness of new value potentials. The study calls for more research regarding a systemic approach to solution business."
5,2017,"Biehl, S. (2017). Design guidelines for smart services: A strategic-logic perspective on seeking competitive advantage with digitized servitization strategies. University of St.Gallen, Business Dissertations, , 1-310. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125256369&site=ehost-live","The dispersing industrial digitalization is rapidly reshaping industries and competition. Smart connected products process comprehensive data in real-time and enable smart services that go far beyond traditional after-sales offerings. Smart services have significantly gained relevance for servitized manufacturers, raised high expectations on their potentials in practice, and are deemed to be key for future competitiveness in increasingly challenging market environments. At the same time, many manufacturers--despite considerable investment in the new technology--fail at taking economic advantage of the potentials, frequently because of vaguely defined competitive strategies and business models. Currently, theory is not able to give appropriate advice. On the one hand, the argumentation for competitive advantage in servitization is stuck in traditional lines of thought that hamper its explanatory power with respect to the phenomena of industrial digitalization. On the other hand, the debate on the role and contribution of digital technologies is still a novel and ill-defined research field and in its infancy when it comes to rigorous strategic reasoning. This thesis sets out to address the existing shortcomings in theory and provide guidance for managers concerned with the formulation of smart-service strategies. The goal is to answer the question of how capital goods manufacturers can increase their competitiveness with smart services, which are described as the result of the concurring trends of servitization and digitalization. Based on a thorough review of literature in the three knowledge bases of servitization, digitalization, and strategic management, the thesis develops a theoretically founded conceptual model of smart-service strategies. In the empirical part of the thesis, the design elements of the conceptual model are validated and operationalized in a cross-sectional interview study before the relationships among the elements of the model are examined in a multiple-case study approach. Based on the juxtaposition of three distinct smart-service approaches in the cross-case study, the thesis refines its conceptual artifacts and develops a management model for smart-service strategies that facilitates the formulation of practical advice for capital goods manufacturers. Based on the empirically validated design model, feasible design guidelines are crafted that support practitioners in defining their firms-- smart-service strategy. From a theoretical point of view, the thesis advances the understanding of the role and contribution of digital technology in servitization and helps to close the gap between the two research strands. "
6,2016,"Avadikyan, A., Lhuillery, S., & Negassi, S. (2016). Technological innovation, organizational change, and product-related services. M@n@gement, 19(4), 277-304. doi:10.3917/mana.194.0277 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=122920727&site=ehost-live","The literature regarding the determinants of servitization emphasizes the role of organizational change and usually overlooks the role of technological change. Using an original sample of 1,129 German manufacturing firms, we reverse the hierarchy: product novelty is a main driver of product-related service (PRS) activities. It especially boosts consulting and training services. The structure of the PRS portfolio is dependent on product novelty. Organizational changes toward a more flexible company or the adoption of new advanced manufacturing processes are found, with few exceptions, hardly to influence the decision to offer a product-related service. Our results suggest However, that process innovation is positively linked to the breadth of service surrounding products, whereas organizational innovation is more prone to lead to a larger breadth of services surrounding customer offerings. Product, process, and organizational innovation are not found to be complementary drivers of product-related service offerings. "
7,2018,"Beltagui, A. (2018). A design-thinking perspective on capability development. International Journal of Operations & Production Management, 38(4), 1041-1060. doi:10.1108/IJOPM-11-2016-0661 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=128616784&site=ehost-live","The of this paper is to examine the interaction between new product development (NPD) capabilities and business model innovation (BMI) by studying the adaptation of capabilities in a manufacturing firm as it adopts a service business model. An in-depth case study is used to identify design capabilities and document how these have been developed as the firm has adapted its NPD processes to the needs of its service business model. Design capabilities are proposed as a facilitator of servitization, allowing a manufacturing firm to develop service offerings that build on resources such as knowledge and experience. Conversely, the scope of servitization is restricted by the extent to which these design capabilities can be updated to suit the demands of a new business model. Servitization is presented as an imperative for manufacturing firms, yet research has not addressed the implications for NPD nor investigated how BMI affects NPD capabilities. This study shows the need to identify whether current NPD processes help or hinder BMI and proposes how managers can adapt NPD processes to a new business model. A three-stage process is identified for adapting NPD processes – as BMI changes the nature of products and services required, existing processes are supplemented by design activities requiring expert knowledge, these are subsequently refined into design methods that can be incorporated into the NPD process, and eventually design tools allow automation and efficiency.   "
8,2012,"Teixeira, J., Patrício, L., Nunes, N. J., Nóbrega, L., Fisk, R. P., & Constantine, L. (2012). Customer experience modeling: From customer experience to service design. Journal of Service Management, 23(3), 362-376. doi:10.1108/09564231211248453 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=77622450&site=ehost-live","Customer experience has become increasingly important for service organizations that see it as a source of sustainable competitive advantage, and for service designers, who consider it fundamental to any service design project. Integrating contributions from different fields, CEM was conceptually developed to represent the different aspects of customer experience in a holistic diagrammatic representation. CEM was further developed with an application to a multimedia service. To further develop and build CEM's models, 17 customers of a multimedia service provider were interviewed and the data were analyzed using Grounded Theory methodology. Combining multidisciplinary contributions to represent customer experience elements enables the systematization of its complex information. The application to a multimedia service highlights how CEM can facilitate the work of multidisciplinary design teams by providing more insightful inputs to service design. CEM supports the holistic nature of customer experience, providing a systematic portrayal of its context and shifting the focus from single experience elements to their orchestration.  "
9,2018,"Karlsson, A., Larsson, L., & Öhrwall Rönnbäck, A. (2018). Product-service system innovation capabilities: Linkages between the fuzzy front end and subsequent development phases. International Journal of Production Research, 56(6), 2218-2232. doi:10.1080/00207543.2017.1365181 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=129867201&site=ehost-live","In an attempt to remain competitive, manufacturers increasingly offer integrated product-service systems (PSSs). This transition from physical products to PSSs calls for new ways of working, for example in the product development process. However, so far only limited attention has been put on capabilities needed to succeed with PSS innovation in the very early development phases - often referred to as the fuzzy front end (FFE). This article, therefore, has a dual aim: first, to further our understanding of capabilities for PSS innovation in the FFE, and second, to determine how these capabilities are linked to PSS innovation capabilities needed in subsequent development phases. Empirical data were collected from an ongoing industrial project developing an innovative PSS offering in a large manufacturing company. Individuals connected to the project reported major challenges, both experienced in the FFE and anticipated in later phases, which provided valuable information regarding capabilities needed to succeed with the endeavour.  reveal four links of PSS innovation capabilities: (1) adapting vocabulary and mental models to PSS, (2) handling the 'intangible aspect', (3) bridging organisational structures, and (4) managing new business models. PSS innovation capabilities in the FFE are also found to be of higher order (dynamic) compared to capabilities in later development phases. "
